#id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\gach.png	255	128	192
40	textures\hinh.png	127	255	142
50	textures\hinh.png	255	127	127
#id	left	top	right	bottom	texture_id
[SPRITES]
#=========MARIO 
10001	6	0	20	16	0
10002	36	0	49	16	0
10003	67	0	79	15	0
10004	95	0	111	16	0
10005	125	0	140	16	0
10006	155	0	171	16	0
10007	187	0	199	15	0
10008	216	0	230	15	0
10009	247	0	259	15	0
10010	275	0	291	16	0
10011	306	0	321	16	0
10012	335	0	351	16	0
10013	367	0	379	15	0
10014	397	0	410	16	0
10015	426	0	440	16	0
40008	215	120	231	136	0		
50001	5	154	21	182	0
50002	35	155	54	181	0
50003	65	154	84	181	0
50004	93	154	112	181	0
50005	125	155	141	181	0
50006	155	154	171	181	0
50007	186	154	200	181	0
50008	215	154	231	181	0
50009	246	154	260	181	0
50010	275	154	291	181	0
50011	305	155	321	181	0
50012	334	154	353	181	0
50013	362	154	381	181	0
50014	392	155	411	181	0
50015	425	154	441	182	0
11001	5	394	21	422	0
11002	35	395	54	421	0
11003	65	394	84	421	0
11004	93	394	112	421	0
11005	125	395	141	421	0
11006	155	394	171	421	0
11007	186	394	200	421	0
11008	215	394	231	421	0
11009	246	394	260	421	0
11010	275	394	291	421	0
11011	305	395	321	421	0
11012	334	394	353	421	0
11013	362	394	381	421	0
11014	392	395	411	421	0
10015	425	394	441	422	0
17001	5	633	21	663	0
17002	32	634	53	661	0
17003	61	634	84	662	0
17004	91	634	115	662	0
17005	122	634	143	661	0
17006	152	634	174	662	0
17007	182	634	203	662	0
17008	215	633	231	662	0
17009	243	634	264	662	0
17010	272	634	294	662	0
17011	303	634	324	661	0
17012	331	634	355	662	0
17013	362	634	385	662	0
17014	393	634	414	661	0
17015	425	633	441	663	0
	
#=======BRICK
20001	408	225	424	241	20
#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#====brick with question mark animation
40001	1140	0	1156	17	50
40002	1157	0	1173	17	50
40003	1174	0	1190	17	50
40004	1191	0	1207	17	50
40005	1208	0	1224	17	50
#=========GẠCH NỀN:
51001	443	154	459	170	40
51002	460	154	476	170	40
51003	477	154	493	170	40
51004	443	171	459	187	40
51005	460	171	476	187	40
51006	477	171	493	187	40
#==========HỘP XANH LÁ
110011	52	1	68	17	30
110012	52	18	68	34	30
110013	52	35	68	51	30
110014	69	1	85	17	30
110015	69	18	85	34	30
110016	69	35	85	51	30
110017	86	1	102	17	30
110018	86	18	102	34	30
110019	86	35	102	51	30
#=========HỘP XANH BIỂN
210011	52	52	68	68	30
210012	52	69	68	85	30
210013	52	86	68	102	30
210014	69	52	85	68	30
210015	69	69	85	85	30
210016	69	86	85	102	30
210017	86	52	102	68	30
210018	86	69	102	85	30
210019	86	86	102	102	30
#========HỘP TRẮNG
310011	1	1	17	17	30
310012	1	18	17	34	30
310013	1	35	17	51	30
310014	18	1	34	17	30
310015	18	18	34	34	30
310016	18	35	34	51	30
310017	35	1	51	17	30
310018	35	18	51	34	30
310019	35	35	51	51	30
#=========HỘP HỒNG
410011	1	52	17	68	30
410012	1	69	17	85	30
410013	1	86	17	102	30
410014	18	52	34	68	30
410015	18	69	34	85	30
410016	18	86	34	102	30
410017	35	52	51	68	30
410018	35	69	51	85	30
410019	35	86	51	102	30
#=========BÓNG
610011	103	77	111	85	30
610012	103	86	111	102	30
610013	103	103	111	111	30
610014	86	103	102	111	30
610015	77	103	85	111	30
#==========CÂY
510011	138	1	153	17	30
510012	137	18	153	34	30
510013	137	35	153	51	30
510014	137	52	153	68	30
510015	154	1	170	17	30
510016	154	18	170	34	30
510017	154	35	170	51	30
#====CỎ
510018	222	205	238	221	30
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== MARIO =========
#LỚN ĐỨNG NHÌN PHẢI
400	50009	100
#LỚN ĐỨNG NHÌN TRÁI
401	50007	100
#NHỎ NHÌN PHẢI
402	10009	100
#NHỎ NHÌN TRÁI
403	10007	100
#LỬA NHÌN PHẢI
404	11009	100
#LỬA NHÌN TRÁI
405	11007	100
#ĐUÔI NHÌN PHẢI
406	17009	100
#ĐUÔI NHÌN TRÁI
407	17007	100
#LỚN QUA PHẢI
500	50009	100	50010	100	50011	100
#LỚN QUA TRÁI
501	50007	100	50006	100	50005	100
#NHỎ QUA PHẢI
502	10009	100	10010	100	10011	100
#NHỎ QUA TRÁI
503	10007	100	10006	100	10005	100
#LỬA QUA PHẢI
504	11009	100	11010	100	11011	100
#LỬA QUA TRÁI
505	11007	100	11006	100	11005	100
#ĐUÔI QUA PHẢI
506	17009	100	17010	100	17011	100
#ĐUÔI QUA TRÁI
507	17007	100	17006	100	17005	100
#CHẾT
599	40008	100

# ==== BRICK =========
#GẠCH THƯỜNG
601	20001	100
#GẠCH NỀN
602	51001	100
603	51002	100
604	51003	100
605	51004	100
606	51005	100
607	51006	100
#GẠCH HỎI
608	40001	100	40002	100	40003	100	40004	100
#====HỘP HỒNG
4111	410011	100
4112	410012	100
4113	410013	100
4114	410014	100
4115	410015	100
4116	410016	100
4117	410017	100
4118	410018	100
4119	410019	100
#==HỘP XANH LÁ
1111	110011	100
1112	110012	100
1113	110013	100
1114	110014	100
1115	110015	100
1116	110016	100
1117	110017	100
1118	110018	100
1119	110019	100
#===HỘP XANH BIỂN
2111	210011	100
2112	210012	100
2113	210013	100
2114	210014	100
2115	210015	100
2116	210016	100
2117	210017	100
2118	210018	100
2119	210019	100
#==HỘP TRẮNG
3111	310011	100
3112	310012	100
3113	310013	100
3114	310014	100
3115	310015	100
3116	310016	100
3117	310017	100
3118	310018	100
3119	310019	100
#==BÓNG
6111	610011	100
6112	610012	100
6113	610013	100
6114	610014	100
6115	610015	100
#===CÂY
5111	510011	100
5112	510012	100
5113	510013	100
5114	510014	100
5115	510015	100
5116	510016	100
5117	510017	100
#===CỎ
5118	510018	100
# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100


#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
1	400	401	402	403	500	501	502	503	599	404	405	406	407	504	505	506	507
# BRICK 
2	601
# QUESTION MARK BRICK 
99	608
# GOOMBA
3	701	702
#GẠCH NỀN
4	602
5	603
6	604
7	605
